都道府県名,municipality,oaza,town,aza,街区符号・地番,座標系番号,Ｘ座標,Ｙ座標,latitude,longitude,住居表示フラグ,代表フラグ,更新前履歴フラグ,更新後履歴フラグ
愛知県,阿久比町,,卯坂南,,30,7,-118142.8,-23459.7,34.934784,136.909859,0,1,0,0
愛知県,阿久比町,,宮津一丁目,,3,7,-118687.8,-21986.2,34.929904,136.926003,0,1,0,0
愛知県,阿久比町,,宮津三丁目,,18,7,-118420.5,-22112,34.932312,136.924618,0,1,0,0
愛知県,阿久比町,,宮津二丁目,,1,7,-118606.1,-21998,34.930641,136.925872,0,1,0,0
愛知県,阿久比町,大字阿久比,,旭,79,7,-118003.1,-24942,34.936008,136.893629,0,1,0,0
愛知県,阿久比町,大字阿久比,,桜,82,7,-118097.6,-24510.4,34.935166,136.898356,0,1,0,0
愛知県,阿久比町,大字阿久比,,尾社,1,7,-118616.5,-23798.4,34.930506,136.906164,0,1,0,0
愛知県,阿久比町,大字阿久比,,桜ケ丘,7,7,-118583.3,-23613,34.93081,136.908194,0,1,0,0
愛知県,阿久比町,大字阿久比,,奈古,1,7,-118723.5,-23546.9,34.929547,136.90892,0,1,0,0
愛知県,阿久比町,大字阿久比,,東中根,2,7,-118810.6,-23354.7,34.928767,136.911025,0,1,0,0
愛知県,阿久比町,大字阿久比,,東向山,6,7,-118504.1,-23139.7,34.931534,136.913372,0,1,0,0
愛知県,阿久比町,大字阿久比,,元荒古,1,7,-118691,-23119.7,34.92985,136.913596,0,1,0,0
愛知県,阿久比町,大字阿久比,,上ノ山,25,7,-118908.1,-23155.7,34.927892,136.913208,0,1,0,0
愛知県,阿久比町,大字阿久比,,井瀬,12,7,-118928.6,-23079.2,34.927709,136.914046,0,1,0,0
愛知県,阿久比町,大字阿久比,,地蔵山,3,7,-119020.8,-23035,34.926879,136.914533,0,1,0,0
愛知県,阿久比町,大字阿久比,,北海道,19,7,-118623.5,-22972.2,34.930463,136.915208,0,1,0,0
愛知県,阿久比町,大字阿久比,,松畑,1,7,-119008.3,-22941,34.926993,136.91556,0,1,0,0
愛知県,阿久比町,大字阿久比,,宮後,44,7,-118483,-22901.5,34.93173,136.915978,0,1,0,0
愛知県,阿久比町,大字阿久比,,広海道,22,7,-118922.6,-22955.7,34.927765,136.915398,0,1,0,0
愛知県,阿久比町,大字阿久比,,長光寺西,3,7,-119111,-22908,34.926068,136.915923,0,1,0,0
愛知県,阿久比町,大字阿久比,,北下川,1,7,-118659.5,-22903.7,34.93014,136.915958,0,1,0,0
愛知県,阿久比町,大字阿久比,,高川,17,7,-118840.8,-22895.5,34.928505,136.916055,0,1,0,0
愛知県,阿久比町,大字阿久比,,五葉,33,7,-119035.3,-22813.2,34.926754,136.91696,0,1,0,0
愛知県,阿久比町,大字阿久比,,宮前,4,7,-118703.1,-22811.5,34.929747,136.916969,0,1,0,0
愛知県,阿久比町,大字阿久比,,千速,66,7,-118528.3,-22810,34.931322,136.916982,0,1,0,0
愛知県,阿久比町,大字阿久比,,南下川,24,7,-118835.3,-22771.2,34.928556,136.917416,0,1,0,0
愛知県,阿久比町,大字阿久比,,真向塚,25,7,-118579.3,-22787.7,34.930864,136.917226,0,1,0,0
愛知県,阿久比町,大字阿久比,,五葉下,3,7,-118871.1,-22647.4,34.928237,136.91877,0,1,0,0
愛知県,阿久比町,大字阿久比,,駅前一丁目,1,7,-118436.8,-22782.7,34.932149,136.917278,0,1,0,0
愛知県,阿久比町,大字阿久比,,駅前二丁目,1,7,-118724.8,-22655.4,34.929557,136.918678,0,1,0,0
愛知県,阿久比町,大字卯坂,,新平池,112,7,-118156.6,-25185.7,34.93462,136.890965,0,1,0,0
愛知県,阿久比町,大字卯坂,,上平池,60,7,-117509.8,-24894.7,34.940455,136.89413,0,1,0,0
愛知県,阿久比町,大字卯坂,,梅ケ丘,126,7,-117516.1,-24713.2,34.940404,136.896118,0,1,0,0
愛知県,阿久比町,大字卯坂,,砂走,41,7,-116670.3,-23409.7,34.948059,136.910366,0,1,0,0
愛知県,阿久比町,大字卯坂,,上同志鐘,50,7,-117836.3,-24099.4,34.937531,136.902849,0,1,0,0
