都道府県名,municipality,town,小字・通称名,街区符号・地番,座標系番号,Ｘ座標,Ｙ座標,latitude,longitude,住居表示フラグ,代表フラグ,更新前履歴フラグ,更新後履歴フラグ
愛知県,半田市,のぞみが丘一丁目,,144,7,-118890.5,-19095.2,34.928136,136.957652,0,1,0,0
愛知県,半田市,のぞみが丘三丁目,,34,7,-119498.1,-19047.2,34.92266,136.958191,0,1,0,0
愛知県,半田市,のぞみが丘二丁目,,80,7,-119067.6,-19114.7,34.926538,136.957443,0,1,0,0
愛知県,半田市,阿原町,,15,7,-120555,-18930.5,34.913134,136.959494,0,1,0,0
愛知県,半田市,旭町一丁目,,1,7,-124280.1,-22171.4,34.879486,136.924126,0,1,0,0
愛知県,半田市,旭町五丁目,,25,7,-125144,-22595.7,34.87169,136.919507,0,1,0,0
愛知県,半田市,旭町三丁目,,30,7,-124873.8,-22334.7,34.87413,136.922352,0,1,0,0
愛知県,半田市,旭町四丁目,,11,7,-125105.8,-22588.2,34.872033,136.919588,0,1,0,0
愛知県,半田市,旭町二丁目,,5,7,-124592.6,-22305,34.876666,136.922672,0,1,0,0
愛知県,半田市,一ノ草町,,208,7,-120263.6,-20581,34.915728,136.941422,0,1,0,0
愛知県,半田市,一本木町一丁目,,34,7,-119256.8,-19508.5,34.924824,136.953137,0,1,0,0
愛知県,半田市,一本木町三丁目,,29,7,-119543,-19571.4,34.922244,136.952457,0,1,0,0
愛知県,半田市,一本木町二丁目,,32,7,-119390.8,-19561.2,34.923617,136.952563,0,1,0,0
愛知県,半田市,稲荷町一丁目,,85,7,-124467,-24262,34.877755,136.901261,0,1,0,0
愛知県,半田市,稲荷町三丁目,,25,7,-124733.6,-24520,34.875345,136.898445,0,1,0,0
愛知県,半田市,稲荷町二丁目,,43,7,-124679.1,-24273.7,34.875841,136.901139,0,1,0,0
愛知県,半田市,稲穂町一丁目,,9,7,-118488.3,-19104.2,34.931759,136.957545,0,1,0,0
愛知県,半田市,稲穂町九丁目,,1,7,-118005.3,-18782.2,34.936121,136.96106,0,1,0,0
愛知県,半田市,稲穂町十一丁目,,1,7,-117993.1,-18405,34.936238,136.965188,0,1,0,0
愛知県,半田市,稲穂町十三丁目,,80,7,-117765.6,-18769,34.938282,136.961197,0,1,0,0
愛知県,半田市,稲穂町十四丁目,,1,7,-117659,-18967.5,34.939239,136.959023,0,1,0,0
愛知県,半田市,稲穂町十二丁目,,43,7,-117819.6,-18693.5,34.937797,136.962027,0,1,0,0
愛知県,半田市,稲穂町二丁目,,84,7,-118578.1,-18945.5,34.930954,136.959283,0,1,0,0
愛知県,半田市,稲穂町八丁目,,23,7,-118108.6,-18824,34.935189,136.960603,0,1,0,0
愛知県,半田市,稲穂町六丁目,,7,7,-118475.1,-18534,34.931891,136.963786,0,1,0,0
愛知県,半田市,鵜ノ池町,,33,7,-121559.8,-25819,34.903924,136.884139,0,1,0,0
愛知県,半田市,栄町一丁目,,1,7,-123291.8,-22222.2,34.888396,136.923541,0,1,0,0
