都道府県名,municipality,oaza,aza,街区符号・地番,座標系番号,Ｘ座標,Ｙ座標,latitude,longitude,住居表示フラグ,代表フラグ,更新前履歴フラグ,更新後履歴フラグ
愛知県,東浦町,大字緒川,西本坪,6,7,-114200.1,-23052.4,34.970336,136.914209,0,1,0,0
愛知県,東浦町,大字緒川,寿久茂,8,7,-114315.3,-22948.9,34.969299,136.915346,0,1,0,0
愛知県,東浦町,大字緒川,唐治屋敷,65,7,-114197,-22918.7,34.970368,136.915673,0,1,0,0
愛知県,東浦町,大字緒川,八巻,3,7,-114049.3,-22843.5,34.971701,136.916493,0,1,0,0
愛知県,東浦町,大字緒川,中本坪,1,7,-113904.8,-22892.4,34.973,136.915953,0,1,0,0
愛知県,東浦町,大字緒川,丸山,27,7,-114605.8,-22834.9,34.966683,136.916602,0,1,0,0
愛知県,東浦町,大字緒川,西釜池,8,7,-114792.8,-22786.5,34.964998,136.917135,0,1,0,0
愛知県,東浦町,大字緒川,組田,37,7,-114943.1,-22735.7,34.963645,136.917697,0,1,0,0
愛知県,東浦町,大字緒川,中釜池,60,7,-114681.6,-22661.9,34.966003,136.918498,0,1,0,0
愛知県,東浦町,大字緒川,植山,1,7,-114212.3,-22679.2,34.970233,136.918296,0,1,0,0
愛知県,東浦町,大字緒川,雁狭間,18,7,-114290.3,-22502,34.969535,136.920238,0,1,0,0
愛知県,東浦町,大字緒川,北添,25,7,-114044.1,-22570.7,34.971753,136.919479,0,1,0,0
愛知県,東浦町,大字緒川,肥後原,13,7,-114508.1,-22513.4,34.967571,136.920119,0,1,0,0
愛知県,東浦町,大字緒川,東釜池,20,7,-114954.6,-22516,34.963546,136.920103,0,1,0,0
愛知県,東浦町,大字緒川,新左田,12,7,-114980,-22419,34.96332,136.921165,0,1,0,0
愛知県,東浦町,大字緒川,次郎兵衛山,4,7,-114741.8,-22348,34.965468,136.921938,0,1,0,0
愛知県,東浦町,大字緒川,東本坪,10,7,-113785.3,-22321.2,34.974091,136.922205,0,1,0,0
愛知県,東浦町,大字緒川,丸池,19,7,-115389.6,-22283.7,34.959631,136.92266,0,1,0,0
愛知県,東浦町,大字緒川,丸池台,1,7,-115277.5,-22313.9,34.960641,136.922325,0,1,0,0
愛知県,東浦町,大字緒川,雁狭間山,12,7,-114262.6,-22289.4,34.96979,136.922566,0,1,0,0
愛知県,東浦町,大字緒川,西地獄,1,7,-114117.1,-22258.9,34.971102,136.922897,0,1,0,0
愛知県,東浦町,大字緒川,大原,2,7,-114610.1,-22063,34.966661,136.925054,0,1,0,0
愛知県,東浦町,大字緒川,南籾谷鐘,10,7,-115075.8,-21912.9,34.962466,136.926711,0,1,0,0
愛知県,東浦町,大字緒川,姥池,26,7,-113813.3,-22067.2,34.973844,136.924988,0,1,0,0
愛知県,東浦町,大字緒川,葭池,64,7,-113707.6,-22083.2,34.974798,136.924809,0,1,0,0
愛知県,東浦町,大字緒川,地獄谷,1,7,-114044.8,-21998.9,34.97176,136.925743,0,1,0,0
愛知県,東浦町,大字緒川,東仙台,1,7,-115543.3,-22024.7,34.95825,136.925498,0,1,0,0
愛知県,東浦町,大字緒川,北籾谷鐘,5,7,-114696.6,-21919.7,34.965885,136.926626,0,1,0,0
愛知県,東浦町,大字緒川,鴉狭間,10,7,-113055,-21705.4,34.980688,136.928931,0,1,0,0
愛知県,東浦町,大字緒川,西高根,1,7,-115240.8,-21830.9,34.96098,136.927614,0,1,0,0
愛知県,東浦町,大字緒川,上広狭間,27,7,-114547.6,-21815.7,34.96723,136.927762,0,1,0,0
愛知県,東浦町,大字緒川,南鶴根,5,7,-114366.6,-21753.4,34.968864,136.928439,0,1,0,0
愛知県,東浦町,大字緒川,北鶴根,66,7,-114173.1,-21680.9,34.97061,136.929228,0,1,0,0
愛知県,東浦町,大字緒川,深狭間,10,7,-113647.8,-21728.9,34.975344,136.928688,0,1,0,0
愛知県,東浦町,大字緒川,上高根台,33,7,-115272.8,-21800.4,34.960692,136.927947,0,1,0,0
愛知県,東浦町,大字緒川,北東仙坊,1,7,-115387.3,-21763.5,34.959662,136.928355,0,1,0,0
愛知県,東浦町,大字緒川,広狭間,31,7,-114555,-21698.7,34.967167,136.929043,0,1,0,0
愛知県,東浦町,大字緒川,市右原,2,7,-113916.3,-21684.2,34.972924,136.929183,0,1,0,0
愛知県,東浦町,大字緒川,鴻ノ木,1,7,-113285.8,-21471.5,34.978613,136.931499,0,1,0,0
愛知県,東浦町,大字緒川,立合池,16,7,-115573.5,-21642.2,34.957987,136.929687,0,1,0,0
愛知県,東浦町,大字緒川,上高根,19,7,-114826.8,-21547.9,34.96472,136.930701,0,1,0,0
愛知県,東浦町,大字緒川,鶴根,17,7,-114182.1,-21495.5,34.970533,136.931259,0,1,0,0
愛知県,東浦町,大字緒川,中広狭間,6,7,-114457.5,-21455.2,34.968051,136.931707,0,1,0,0
愛知県,東浦町,大字緒川,下米田,6,7,-112933.8,-21430.4,34.981788,136.931939,0,1,0,0
愛知県,東浦町,大字緒川,上米田,2,7,-113627.5,-21486.9,34.975532,136.931339,0,1,0,0
愛知県,東浦町,大字緒川,上鰻池,1,7,-113864.6,-21416,34.973396,136.932119,0,1,0,0
愛知県,東浦町,大字緒川,中米田,1,7,-113301.8,-21244.2,34.978473,136.933987,0,1,0,0
愛知県,東浦町,大字石浜,藤仙坊,38,7,-115948.3,-21323.7,34.954613,136.933186,0,1,0,0
愛知県,東浦町,大字緒川,下高根,5,7,-114589.6,-21290,34.966864,136.933519,0,1,0,0
愛知県,東浦町,大字緒川,薮道,6,7,-112444,-21337.9,34.986204,136.932941,0,1,0,0
愛知県,東浦町,大字森岡,西時志,3,7,-112422.6,-21172.2,34.986401,136.934753,0,1,0,0
愛知県,東浦町,大字緒川,庄九,12,7,-115402,-21149.7,34.959542,136.935077,0,1,0,0
愛知県,東浦町,大字緒川,明治,124,7,-114141.5,-21246.2,34.970903,136.933987,0,1,0,0
愛知県,東浦町,大字石浜,上永見,31,7,-115701.8,-21196.5,34.956839,136.934572,0,1,0,0
愛知県,東浦町,大字緒川,葭狭間,1,7,-113522.5,-21119.7,34.976486,136.935357,0,1,0,0
愛知県,東浦町,大字緒川,折戸,31,7,-114126.1,-21081.2,34.971046,136.935793,0,1,0,0
愛知県,東浦町,大字森岡,時志二区,10,7,-112545.5,-20959.7,34.985298,136.937085,0,1,0,0
愛知県,東浦町,大字緒川,東米田,1,7,-113326,-21126.5,34.978257,136.935277,0,1,0,0
愛知県,東浦町,大字緒川,相生の丘,5,7,-113311,-21066,34.978394,136.935939,0,1,0,0
愛知県,東浦町,大字森岡,源一,12,7,-112307,-21031.2,34.987445,136.936296,0,1,0,0
愛知県,東浦町,大字石浜,鋳師,20,7,-115822.3,-21107,34.955755,136.935553,0,1,0,0
愛知県,東浦町,大字緒川,鰻池,48,7,-113691.1,-21035.9,34.974967,136.93628,0,1,0,0
愛知県,東浦町,大字緒川,鈴栗弐区,23,7,-114730.8,-20929.2,34.965598,136.937475,0,1,0,0
愛知県,東浦町,大字森岡,東時志,26,7,-112152.3,-20989.4,34.988841,136.936749,0,1,0,0
愛知県,東浦町,大字緒川,桐池壱区,18,7,-114293.3,-20941,34.969541,136.937332,0,1,0,0
愛知県,東浦町,大字緒川,桐池四区,15,7,-113909.6,-20955.2,34.973,136.937169,0,1,0,0
愛知県,東浦町,大字緒川,中根,1,7,-115300.8,-20953.9,34.960459,136.937218,0,1,0,0
愛知県,東浦町,大字石浜,午池,34,7,-116381.1,-20834.4,34.950724,136.938554,0,1,0,0
愛知県,東浦町,大字緒川,鼈池,32,7,-115229.5,-20901.7,34.961103,136.937788,0,1,0,0
愛知県,東浦町,大字緒川,桐池弐区,36,7,-114360.1,-20877.5,34.968941,136.938029,0,1,0,0
愛知県,東浦町,大字緒川,上苅又池,18,7,-113113.8,-20776.9,34.980178,136.939101,0,1,0,0
愛知県,東浦町,大字緒川,苅又一区,21,7,-112731.6,-20792.5,34.983623,136.938921,0,1,0,0
愛知県,東浦町,大字緒川,鈴栗壱区,13,7,-114317,-20779,34.969332,136.939109,0,1,0,0
愛知県,東浦町,大字森岡,二ツ池,38,7,-112234.6,-20656.5,34.988106,136.940397,0,1,0,0
愛知県,東浦町,大字石浜,平池西,2,7,-116583.1,-20737.2,34.948905,136.939622,0,1,0,0
愛知県,東浦町,大字緒川,篭池,11,7,-113616.3,-20595.7,34.975651,136.941099,0,1,0,0
愛知県,東浦町,大字緒川,相生,13,7,-113324.3,-20659.2,34.978282,136.940394,0,1,0,0
愛知県,東浦町,大字緒川,平六,41,7,-115178.3,-20627.7,34.96157,136.940787,0,1,0,0
愛知県,東浦町,大字緒川,下苅又池,16,7,-112504,-20555.5,34.98568,136.941511,0,1,0,0
愛知県,東浦町,大字緒川,梨ノ木,21,7,-112824.3,-20616.7,34.98279,136.940848,0,1,0,0
愛知県,東浦町,大字緒川,大高山壱区,10,7,-114762.8,-20555.7,34.965318,136.941564,0,1,0,0
愛知県,東浦町,大字緒川,桐池参区,23,7,-114040.1,-20546.5,34.971831,136.941646,0,1,0,0
愛知県,東浦町,大字石浜,平池上,26,7,-116754.8,-20511.5,34.947361,136.942099,0,1,0,0
愛知県,東浦町,大字森岡,時志一区,1,7,-112308.3,-20527.7,34.987445,136.941811,0,1,0,0
愛知県,東浦町,大字生路,平根二区,59,7,-116925.3,-20397.9,34.945825,136.943345,0,1,0,0
愛知県,東浦町,大字緒川,組ケ平弐区,25,7,-113542.1,-20349.7,34.976326,136.943792,0,1,0,0
愛知県,東浦町,大字石浜,新兵衛山,38,7,-115578,-20276,34.957974,136.944647,0,1,0,0
愛知県,東浦町,大字緒川,大高山弐区,30,7,-114446.5,-20276.4,34.968175,136.944615,0,1,0,0
愛知県,東浦町,大字緒川,引蛙,7,7,-114156.3,-20229.7,34.97079,136.945121,0,1,0,0
愛知県,東浦町,大字緒川,小川一区,37,7,-113783,-20286.5,34.974156,136.944488,0,1,0,0
愛知県,東浦町,大字緒川,鍋ケ谷,63,7,-114944.8,-20226.2,34.963684,136.945177,0,1,0,0
愛知県,東浦町,大字緒川,大草,1,7,-112772.1,-20173,34.983271,136.945706,0,1,0,0
愛知県,東浦町,大字森岡,錦,15,7,-112182.6,-20286.7,34.988582,136.944447,0,1,0,0
愛知県,東浦町,大字生路,黒根,34,7,-116701.6,-20321.7,34.947845,136.944174,0,1,0,0
愛知県,東浦町,大字森岡,一ツ池,1,7,-112354.6,-20252.7,34.987031,136.944825,0,1,0,0
愛知県,東浦町,大字藤江,藤塚,23,7,-117273.3,-20324,34.942691,136.944164,0,1,0,0
愛知県,東浦町,大字緒川,両筋道,4,7,-113352.3,-20202.7,34.978039,136.945395,0,1,0,0
愛知県,東浦町,大字藤江,西黒根,17,7,-116905.1,-20278.2,34.94601,136.944655,0,1,0,0
愛知県,東浦町,大字緒川,石名平,25,7,-113905.8,-20166,34.97305,136.945811,0,1,0,0
愛知県,東浦町,大字石浜,半戸,41,7,-116124.8,-20238.5,34.953045,136.945072,0,1,0,0
愛知県,東浦町,大字森岡,上源吾,35,7,-111912,-19889.7,34.99103,136.94879,0,1,0,0
愛知県,東浦町,大字石浜,蛇子連,22,7,-115262,-20052,34.960827,136.947091,0,1,0,0
愛知県,東浦町,大字石浜,東半戸,143,7,-116186.8,-20093.5,34.952489,136.946661,0,1,0,0
愛知県,東浦町,大字緒川,三日狭間,2,7,-113022.6,-20128.5,34.981012,136.946202,0,1,0,0
愛知県,東浦町,大字緒川,庄九坂,16,7,-114318.1,-20078.4,34.969335,136.946782,0,1,0,0
愛知県,東浦町,大字緒川,西高岨,39,7,-113350.6,-20039.9,34.978057,136.94718,0,1,0,0
愛知県,東浦町,大字緒川,南赤坂一区,89,7,-113565.6,-20063.5,34.976118,136.946925,0,1,0,0
愛知県,東浦町,大字藤江,篠田,5,7,-117351.1,-20012.9,34.941996,136.947572,0,1,0,0
愛知県,東浦町,大字緒川,下舟木,5,7,-114298.3,-19863.9,34.969518,136.949129,0,1,0,0
愛知県,東浦町,大字森岡,野田,23,7,-112319,-20003.7,34.987358,136.947552,0,1,0,0
愛知県,東浦町,大字森岡,下申間,14,7,-112169.8,-19875.7,34.988706,136.948948,0,1,0,0
愛知県,東浦町,大字緒川,南石根,4,7,-112716.6,-19895.9,34.983775,136.948742,0,1,0,0
愛知県,東浦町,大字藤江,追根,1,7,-117372.3,-19812.5,34.941808,136.949766,0,1,0,0
愛知県,東浦町,大字森岡,餓鬼出,2,7,-112306.8,-19905.7,34.98747,136.948623,0,1,0,0
愛知県,東浦町,大字緒川,大薮,13,7,-113736.8,-19763,34.974581,136.95022,0,1,0,0
愛知県,東浦町,大字森岡,源吾山,3,7,-111407.8,-19891.7,34.995575,136.948757,0,1,0,0
愛知県,東浦町,大字石浜,御鴻城,24,7,-115392.3,-19893.2,34.959656,136.948835,0,1,0,0
愛知県,東浦町,大字生路,平根一区,57,7,-116545.6,-19861.7,34.94926,136.949207,0,1,0,0
愛知県,東浦町,大字緒川,北赤坂,1,7,-113097.5,-19630.2,34.980347,136.95166,0,1,0,0
愛知県,東浦町,大字藤江,東黒根,5,7,-116686.1,-19830.2,34.947994,136.949555,0,1,0,0
