都道府県名,municipality,oaza,aza,街区符号・地番,座標系番号,Ｘ座標,Ｙ座標,latitude,longitude,住居表示フラグ,代表フラグ,更新前履歴フラグ,更新後履歴フラグ
愛知県,武豊町,大字なし,字二ツ峯,106,7,-124501.1,-26513.7,34.877392,136.87663,0,1,0,0
愛知県,武豊町,大字なし,字北小松谷,1,7,-127705.3,-25894,34.848522,136.883507,0,1,0,0
愛知県,武豊町,大字なし,字南小松谷,1,7,-128061.8,-25486.5,34.845317,136.887974,0,1,0,0
愛知県,武豊町,大字冨貴,南曽原,3,7,-129923.5,-25605.7,34.828532,136.886729,0,1,0,0
愛知県,武豊町,大字冨貴,深谷,24,7,-130508.6,-25572,34.823256,136.887112,0,1,0,0
愛知県,武豊町,大字なし,字上原,8,7,-128442.8,-25744.2,34.841876,136.885168,0,1,0,0
愛知県,武豊町,大字冨貴,大谷道,55,7,-129473,-25569.2,34.832594,136.887113,0,1,0,0
愛知県,武豊町,大字なし,字原屋敷,41,7,-128813.1,-25628.2,34.83854,136.886447,0,1,0,0
愛知県,武豊町,大字冨貴,権兵衛新田,1,7,-131184,-25655.2,34.817168,136.886224,0,1,0,0
愛知県,武豊町,大字東大高,山,5,7,-129233.6,-25342.7,34.834757,136.889581,0,1,0,0
愛知県,武豊町,大字なし,字会下,6,7,-128382.1,-25538.7,34.842429,136.887414,0,1,0,0
愛知県,武豊町,大字冨貴,上別曽,27,7,-131021,-25374.4,34.818643,136.88929,0,1,0,0
愛知県,武豊町,大字なし,字壱町田,231,7,-126039.6,-25416.7,34.863548,136.888676,0,1,0,0
愛知県,武豊町,大字なし,字原田,47,7,-128591.1,-25347.4,34.840549,136.889512,0,1,0,0
愛知県,武豊町,大字なし,字下原,1,7,-128441.8,-25187.9,34.8419,136.891251,0,1,0,0
愛知県,武豊町,大字なし,字上山ノ田,116,7,-126182.1,-25351.5,34.862265,136.889394,0,1,0,0
愛知県,武豊町,大字なし,字上山一丁目,1,7,-127180.8,-25178.5,34.853268,136.891316,0,1,0,0
愛知県,武豊町,大字冨貴,下別曽,37,7,-130344.1,-25245.2,34.824748,136.890682,0,1,0,0
愛知県,武豊町,大字冨貴,新砂,63,7,-129486.1,-25166,34.832486,136.891522,0,1,0,0
愛知県,武豊町,大字冨貴,曽原,31,7,-129432.1,-25086.2,34.832974,136.892392,0,1,0,0
愛知県,武豊町,大字なし,字蛇ケ谷,30,7,-126178.8,-24916.5,34.862307,136.894151,0,1,0,0
愛知県,武豊町,大字冨貴,森南,38,7,-129789.1,-25025.5,34.829757,136.893068,0,1,0,0
愛知県,武豊町,大字なし,字嶋田,58,7,-128738.5,-25069,34.839229,136.892561,0,1,0,0
愛知県,武豊町,大字冨貴,中田,1,7,-130085.6,-24944.7,34.827086,136.893959,0,1,0,0
愛知県,武豊町,大字冨貴,西迎,33,7,-129524.6,-24902.2,34.832146,136.894407,0,1,0,0
愛知県,武豊町,大字冨貴,黒山,1,7,-130393.1,-24811.7,34.824319,136.895421,0,1,0,0
愛知県,武豊町,大字なし,字甚田,23,7,-128402.1,-24956.9,34.842264,136.893777,0,1,0,0
愛知県,武豊町,大字冨貴,兎山,2,7,-131265.5,-24912.7,34.816451,136.894344,0,1,0,0
愛知県,武豊町,大字なし,字緑台六丁目,1,7,-127245.6,-24980.2,34.852688,136.893485,0,1,0,0
愛知県,武豊町,大字なし,字緑台五丁目,1,7,-127425.8,-24937,34.851064,136.893965,0,1,0,0
愛知県,武豊町,大字なし,字多賀八丁目,1,7,-127908,-24793.5,34.846722,136.895547,0,1,0,0
愛知県,武豊町,大字なし,字下山ノ田,64,7,-126270.8,-24665.4,34.861483,136.896901,0,1,0,0
愛知県,武豊町,大字なし,字上山三丁目,1,7,-127142.6,-24936,34.853619,136.893967,0,1,0,0
愛知県,武豊町,大字冨貴,中割,11,7,-129172.6,-24898.2,34.835318,136.894441,0,1,0,0
愛知県,武豊町,大字なし,字梨子ノ木,9,7,-125956.3,-24735,34.864317,136.896129,0,1,0,0
愛知県,武豊町,大字冨貴,樋口,1,7,-130142.6,-24829.9,34.826576,136.895216,0,1,0,0
愛知県,武豊町,大字なし,字上山二丁目,1,7,-126743.6,-24824.5,34.857216,136.895174,0,1,0,0
愛知県,武豊町,大字なし,字多賀一丁目,6,7,-127604.1,-24806.2,34.849462,136.895399,0,1,0,0
